circuit_id,circuit_name,DriverNumber,Position,GridPosition,Q1,Q2,Q3,Points,Laps,Season,Round,AvgQualiTime,AirTemp_C,TrackTemp_C,Humidity_%,Pressure_hPa,WindSpeed_mps,WindDirection_deg,track_length_km,num_corners,num_slow_corners,num_high_speed_corners,clockwise,avg_lap_time_sec,drs_zones,elevation_change_m,full_throttle_pct,avg_speed_kmh,longest_straight_m,is_street_circuit,has_banked_corners,tyre_degradation,overtaking_difficulty,num_race_laps,altitude_m,pit_lane_time_loss_sec,sc_probability_pct,avg_overtakes_per_race,avg_race_temp_c,surface_abrasiveness,track_width_m,typical_pit_stops,umap_x,umap_y,kmeans,hdbscan
1,Bahrain International Circuit,21.5,10.5,10.5,,,,0.5,57.0,2024.0,1.0,102.52675,18.22738853503185,23.652866242038225,48.82165605095541,1016.8639751552794,0.7859872611464969,177.1304347826087,5.412,15.0,4.0,4.0,1.0,93.4,3.0,36.0,61.0,209.0,1060.0,0.0,0.0,3.0,3.0,57.0,7.0,22.8,13.0,67.0,28.0,4.0,15.0,2.0,3.3329737,4.3336496,4,-1
2,Jeddah Corniche Circuit,21.5,10.5,10.5,,,,0.5,50.0,2024.0,2.0,105.51958300000001,26.09189189189189,31.79256756756757,57.79054054054054,1010.9297297297296,1.772297297297297,241.4935064935065,6.174,27.0,3.0,14.0,1.0,90.7,3.0,13.0,79.0,253.0,1900.0,1.0,0.0,3.0,3.0,50.0,15.0,21.5,100.0,55.0,27.0,2.0,12.0,2.0,3.6852775,6.095804,5,-1
3,Albert Park Circuit,22.0,10.0,10.0,,,,1.0,56.0,2024.0,3.0,95.752823,17.449549549549552,30.13963963963964,54.15765765765766,1018.3666666666666,1.1270270270270266,154.78472222222223,5.278,16.0,4.0,5.0,1.0,84.1,4.0,2.0,62.0,226.0,1090.0,0.0,0.0,2.0,3.0,58.0,10.0,23.9,25.0,74.0,22.0,3.0,13.0,2.0,3.0209625,3.5843287,2,-1
4,Shanghai International Circuit,21.0,10.5,10.5,,,,0.5,53.0,2024.5,4.0,103.918,24.37184593328205,34.68567906846633,44.38002657528499,1010.2488460731518,2.173290090216099,111.3469123736464,5.451,16.0,5.0,4.0,0.0,96.2,2.0,7.0,55.0,204.0,1175.0,0.0,0.0,3.0,2.0,56.0,5.0,24.1,38.0,85.0,20.0,3.0,14.0,2.0,3.515831,3.7259414,2,-1
5,Suzuka Circuit,21.5,10.5,10.5,,,,0.5,51.0,2024.0,5.0,109.1746965,24.860625,37.819718309859155,62.725352112676056,1008.64625,1.083125,147.55151515151516,5.807,18.0,3.0,9.0,0.0,91.5,1.0,42.0,60.0,227.0,800.0,0.0,0.0,3.0,4.0,53.0,45.0,22.4,25.0,48.0,18.0,4.0,11.0,2.0,3.7594082,4.8947563,5,-1
6,Miami International Autodrome,21.5,10.5,10.5,,,,0.5,57.0,2024.0,6.0,103.439607,27.11741935483871,38.69060402684564,59.42580645161291,1016.4626666666668,3.080666666666666,152.64,5.412,19.0,6.0,4.0,1.0,90.6,3.0,12.0,55.0,215.0,800.0,0.0,0.0,3.0,3.0,57.0,4.0,23.1,50.0,71.0,30.0,3.0,14.0,2.0,4.0714684,3.6971378,2,-1
7,Autodromo Enzo e Dino Ferrari,22.0,10.5,10.5,,,,0.5,63.0,2024.5,7.0,90.20125,24.53932634032634,42.34388811188811,43.36662004662004,1008.2171328671329,2.6946293706293707,210.76284383333333,4.909,19.0,6.0,4.0,0.0,78.4,2.0,34.0,55.0,225.0,1200.0,0.0,0.0,2.0,4.0,63.0,42.0,28.2,75.0,45.0,18.0,2.0,11.0,1.0,3.5473351,3.0123053,2,-1
8,Circuit de Monaco,22.0,10.5,10.5,,,,0.5,77.0,2024.0,8.0,88.1768225,22.209375,43.317499999999995,52.51875,1016.78375,0.9795,160.895,3.337,19.0,12.0,2.0,1.0,75.3,1.0,38.0,49.0,159.0,270.0,1.0,0.0,5.0,5.0,78.0,7.0,19.2,78.0,22.0,22.0,2.0,8.0,2.0,4.069006,3.0880919,1,-1
9,Circuit Gilles Villeneuve,22.0,10.0,10.0,,,,1.0,66.0,2024.0,9.0,88.464041,22.674025974025977,33.838961038961045,63.077922077922075,1001.0909090909092,1.6329032258064518,147.10967741935485,4.361,14.0,5.0,3.0,0.0,73.0,3.0,7.0,72.0,215.0,1000.0,0.0,0.0,4.0,2.0,70.0,13.0,20.5,75.0,89.0,23.0,3.0,14.0,2.0,4.4975667,4.201218,0,-1
10,Circuit de Barcelona-Catalunya,22.0,10.5,10.5,,,,0.5,69.0,2024.0,10.0,91.652125,24.036526946107788,41.096103896103905,63.44155844155844,1011.5524691358024,1.941975308641975,207.37012987012983,4.657,14.0,4.0,4.0,1.0,79.8,2.0,28.0,68.0,211.0,1000.0,0.0,0.0,3.0,3.0,66.0,35.0,21.9,25.0,67.0,23.0,4.0,13.0,2.0,3.9608731,4.1637645,4,-1
